Source: ACS 5-Year Estimates - Public Use Microdata Sample 2018
Weight used: PWGTP
"Universe: default universe (usually US)"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes","Total","Male","Female"
" -> Total","322903031","158982120","163920911"
"N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)","132009507","60225495","71784012"
"MGR-General And Operations Managers","1030628","718659","311969"
"MGR-Chief Executives And Legislators","1431790","1067168","364622"
"MGR-Advertising And Promotions Managers","56221","23977","32244"
"MGR-Marketing Managers","556585","222245","334340"
"MGR-Sales Managers","513042","343202","169840"
"MGR-Public Relations And Fundraising Managers","69224","24513","44711"
"MGR-Administrative Services Managers","67872","23810","44062"
"MGR-Facilities Managers","108378","86319","22059"
"MGR-Computer And Information Systems Managers","659555","466500","193055"
"MGR-Financial Managers","1317282","604425","712857"
"MGR-Industrial Production Managers","280225","221696","58529"
"MGR-Purchasing Managers","230751","122521","108230"
"MGR-Transportation, Storage, And Distribution Managers","279295","224965","54330"
"MGR-Compensation And Benefits Managers","20830","4798","16032"
"MGR-Human Resources Managers","486914","193804","293110"
"MGR-Training And Development Managers","74744","40930","33814"
"MGR-Farmers, Ranchers, And Other Agricultural Managers","713149","600969","112180"
"MGR-Construction Managers","776485","713787","62698"
"MGR-Education And Childcare Administrators","1081446","378852","702594"
"MGR-Architectural And Engineering Managers","181927","164901","17026"
"MGR-Food Service Managers","1140743","573797","566946"
"MGR-Entertainment And Recreation Managers","85626","47698","37928"
"MGR-Lodging Managers","161173","76592","84581"
"MGR-Medical And Health Services Managers","772052","222483","549569"
"MGR-Natural Sciences Managers","24456","11443","13013"
"MGR-Property, Real Estate, And Community Association Managers","722608","355975","366633"
"MGR-Social And Community Service Managers","441651","134440","307211"
"MGR-Emergency Management Directors","12315","8686","3629"
"MGR-Other Managers","4343339","2825168","1518171"
"BUS-Agents And Business Managers Of Artists, Performers, And Athletes","54091","27405","26686"
"BUS-Buyers And Purchasing Agents, Farm Products","11518","8196","3322"
"BUS-Wholesale And Retail Buyers, Except Farm Products","246017","108016","138001"
"BUS-Purchasing Agents, Except Wholesale, Retail, And Farm Products","324910","152556","172354"
"BUS-Claims Adjusters, Appraisers, Examiners, And Investigators","351706","144754","206952"
"BUS-Compliance Officers","288435","138024","150411"
"BUS-Cost Estimators","156522","134442","22080"
"BUS-Human Resources Workers","944942","262184","682758"
"BUS-Logisticians","165886","109695","56191"
"BUS-Project Management Specialists","737422","422596","314826"
"BUS-Management Analysts","1023978","597625","426353"
"BUS-Meeting Convention, And Event Planners","163690","36677","127013"
"BUS-Fundraisers","118234","33247","84987"
"BUS-Compensation, Benefits, And Job Analysis Specialists","63495","14730","48765"
"BUS-Training And Development Specialists","166919","76467","90452"
"BUS-Market Research Analysts And Marketing Specialists","361631","150267","211364"
"BUS-Business Operations Specialists, All Other","338524","156091","182433"
"FIN-Accountants And Auditors","2272310","873339","1398971"
"FIN-Property Appraisers And Assessors","104407","68071","36336"
"FIN-Budget Analysts","55921","21250","34671"
"FIN-Credit Analysts","31834","14264","17570"
"FIN-Financial Analysts","242299","144910","97389"
"FIN-Personal Financial Advisors","419144","288116","131028"
"FIN-Insurance Underwriters","122106","42732","79374"
"FIN-Financial Examiners","15800","8458","7342"
"FIN-Credit Counselors And Loan Officers","356852","157594","199258"
"FIN-Tax Examiners And Collectors, And Revenue Agents","67030","24026","43004"
"FIN-Tax Preparers","170235","62275","107960"
"FIN-Other Financial Specialists","68476","31239","37237"
"CMM-Computer Systems Analysts","595001","360458","234543"
"CMM-Information Security Analysts","89623","71220","18403"
"CMM-Computer And Information Research Scientists","24944","18422","6522"
"CMM-Computer Support Specialists","742455","550542","191913"
"CMM-Computer Network Architects","113197","102971","10226"
"CMM-Network And Computer Systems Administrators","235639","188924","46715"
"CMM-Database Administrators And Architects","138142","85994","52148"
"CMM-Computer Programmers","505408","390619","114789"
"CMM-Software Developers","1267661","1029080","238581"
"CMM-Software Quality Assurance Analysts And Testers","135399","82913","52486"
"CMM_Web Developers","144923","94760","50163"
"CMM Web And Digital Interface Designers","78514","43498","35016"
"CMM Computer Occupations, All Other","821091","597554","223537"
"CMM-Actuaries","33253","21579","11674"
"CMM-Operations Research Analysts","162279","82434","79845"
"CMM-Other Mathematical Science Occupations","88865","47398","41467"
"ENG-Architects, Except Landscape And Naval","184136","135599","48537"
"ENG-Landscape Architects","31519","20092","11427"
"ENG-Surveyors, Cartographers, And Photogrammetrists","43479","34681","8798"
"ENG-Aerospace Engineers","146542","127920","18622"
"ENG-Chemical Engineers","71770","58972","12798"
"ENG-Civil Engineers","390334","336185","54149"
"ENG-Computer Hardware Engineers","57601","48121","9480"
"ENG-Electrical And Electronics Engineers","244719","221056","23663"
"ENG-Environmental Engineers","34019","24304","9715"
"ENG-Biomedical And Agricultural Engineers","18026","15097","2929"
"ENG-Industrial Engineers, Including Health And Safety","235689","186471","49218"
"ENG-Marine Engineers And Naval Architects","16646","14995","1651"
"ENG-Materials Engineers","44519","38961","5558"
"ENG-Mechanical Engineers","293145","268299","24846"
"ENG-Petroleum, Mining And Geological Engineers, Including Mining Safety Engineers","46340","40643","5697"
"ENG-Other Engineers","615023","531864","83159"
"ENG-Architectural And Civil Drafters","64002","49529","14473"
"ENG-Other Drafters","129052","104413","24639"
"ENG-Electrical and Electronic Engineering Technologists And Technicians","130201","115482","14719"
"ENG-Other Engineering Technologists And Technicians, Except Drafters","354763","275538","79225"
"ENG-Surveying And Mapping Technicians","80667","73289","7378"
"SCI-Agricultural And Food Scientists","28024","17959","10065"
"SCI-Biological Scientists","88453","45062","43391"
"SCI-Conservation Scientists And Foresters","23062","17740","5322"
"SCI-Medical Scientists, And Life Scientists, All Other","164400","76106","88294"
"SCI-Astronomers And Physicists","12946","10718","2228"
"SCI-Atmospheric And Space Scientists","13108","10403","2705"
"SCI-Chemists And Materials Scientists","98594","60583","38011"
"SCI-Environmental Scientists And Specialists, Including Health","33587","19590","13997"
"Geoscientists And Hydrologists, Except Geographers","51354","38619","12735"
"SCI-Physical Scientists, All Other","268872","155854","113018"
"SCI-Economists","29339","20195","9144"
"SCI-Clinical And Counseling Psychologists","32448","10173","22275"
"SCI-School Psychologists","49040","9605","39435"
"SCI-Other Psychologists","150377","45930","104447"
"SCI-Urban And Regional Planners","26134","14651","11483"
"Other Social Scientists","53283","24827","28456"
"SCI Agricultural And Food Science Technicians","46851","27733","19118"
"SCI-Biological Technicians","29274","14280","14994"
"SCI-Chemical Technicians","84023","56041","27982"
"SCI-Environmental Science And Geoscience Technicians, And Nuclear Technicians","54061","37209","16852"
"SCI-Other Life, Physical, And Social Science Technicians","257382","131039","126343"
"SCI-Occupational Health And Safety Specialists And Technicians","72981","47285","25696"
"CMS-Substance Abuse And Behavioral Disorder Counselors","92682","29676","63006"
"CMS-Educational, Guidance, And Career Counselors And Advisors","397746","99547","298199"
"CMS-Marriage And Family Therapists","41855","10386","31469"
"CMS-Mental Health Counselors","114009","28749","85260"
"CMS-Rehabilitation Counselors","39061","10690","28371"
"CMS-Counselors, All Other","275319","91895","183424"
"CMS-Child, Family, And School Social Workers","134872","22494","112378"
"CMS-Healthcare Social Workers","119652","25537","94115"
"CMS-Mental Health And Substance Abuse Social Workers","39139","10465","28674"
"CMS-Social Workers All Other","691325","128179","563146"
"CMS-Probation Officers And Correctional Treatment Specialists","100247","47958","52289"
"CMS-Social And Human Service Assistants","246989","56053","190936"
"CMS-Other Community And Social Service Specialists","115340","40041","75299"
"CMS-Clergy","512498","407331","105167"
"CMS-Directors, Religious Activities And Education","88111","32069","56042"
"CMS-Religious Workers, All Other","102421","38040","64381"
"LGL-Judicial Law Clerks","24187","10443","13744"
"LGL-Lawyers, And Judges, Magistrates, And Other Judicial Workers","1245830","778279","467551"
"LGL-Paralegals And Legal Assistants","482034","82016","400018"
"LGL-Title Examiners, Abstractors, And Searchers","105054","31155","73899"
"LGL-Legal Support Workers, All Other","60107","23866","36241"
"EDU-Postsecondary Teachers","1729292","856921","872371"
"EDU-Preschool And Kindergarten Teachers","733362","16787","716575"
"EDU-Elementary And Middle School Teachers","4433916","902969","3530947"
"EDU-Secondary School Teachers","922040","377420","544620"
"EDU-Special Education Teachers","314765","43131","271634"
"EDU-Tutors","305093","108791","196302"
"EDU-Other Teachers And Instructors","896083","352467","543616"
"EDU-Archivists, Curators, And Museum Technicians","63149","22715","40434"
"EDU-Librarians And Media Collections Specialists","225971","39099","186872"
"EDU-Library Technicians","60779","15651","45128"
"EDU-Teaching Assistants","1526488","232454","1294034"
"EDU-Other Educational Instruction and Library Workers","150810","41380","109430"
"ENT-Artists And Related Workers","268984","135845","133139"
"ENT-Commercial And Industrial Designers","26029","17367","8662"
"ENT-Fashion Designers","38189","7278","30911"
